id,trainNumber,ocpRef,name,trackRef,track,ref,name.1,dir,arrival,departure,minimalTime,ocpType,ref.1,code,stopPostRef,Unnamed: 16,Unnamed: 17,Train 1 Number,Train 2 Number,Train 1 Station,Train 2 Station,Conflict Track,Train 1 Time,Train 2 Time,Train 1 Row,Train 2 Row,Conflict Direction,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
tp_0_1_1_2025_6,VIA1,nON_ChsJct,Chesswood Freight Customers,,,stON_NmkSub_0_N-1_N-3_0,T1,up,,09:58:36,,pass,ou_2_2,Canadian,,,,E8304,E8202,Strachan Avenue,Strachan Avenue,T1,07:46:24,07:46:36,4853.0,4857.0,Same Direction,1913-04-13 00:00:00,4856.0,,
tp_0_1_1_2025_6,VIA1,3,Freight Customer N-1&N-3,,,stON_NmkSub_0_CN_2b_N-5_0,T1,up,,09:59:00,,pass,ou_2_2,Canadian,,,,E8304,E8202,Exhibition Station,Exhibition Station,T1,07:48:30,07:48:42,4892.0,4897.0,Same Direction,1913-05-22 00:00:00,4896.0,,
tp_0_1_1_2025_6,VIA1,5,CN2b_N-5 Turnaround,,,stON_NmkSub_0_A297_x0020_FRT_x0020_N5_0,T1,up,,09:59:18,,pass,ou_2_2,Canadian,,,,4123,4122,King-Liberty Station,King-Liberty Station,T3,07:48:54,07:49:42,4903.0,4924.0,Head On,1913-06-02 00:00:00,4923.0,,
tp_0_1_1_2025_6,VIA1,nA297_x0020_FRT_x0020_N5,Freight Customer N-5,,,stON_NmkSub_0_N-4_0,T1,up,,09:59:24,,pass,ou_2_2,Canadian,,,,E8304,E8202,Park Lawn Station,Park Lawn Station,T1,07:53:30,07:53:42,4987.0,4992.0,Same Direction,1913-08-25 00:00:00,4991.0,,
tp_0_1_1_2025_6,VIA1,4,Freight Customer N-4,,,stON_NmkSub_0_ON_SniS_0,T1,up,,09:59:24,,pass,ou_2_2,Canadian,,,,E8304,E8202,Mimico Station,Mimico Station,T1,07:54:48,07:55:00,5010.0,5014.0,Same Direction,1913-09-17 00:00:00,5013.0,,
tp_0_1_1_2025_6,VIA1,nON_SniS,Snider South,,,stON_NmkSub_0_ON_Ste_1,T2,up,,09:59:42,,pass,ou_2_2,Canadian,,,,4125,4124,King-Liberty Station,King-Liberty Station,T3,08:03:54,08:04:42,5186.0,5206.0,Head On,1914-03-12 00:00:00,5205.0,,
tp_0_1_1_2025_6,VIA1,nON_Ste,Steeles,,,stON_NmkSub_0_ON_SniN_1,T2,up,10:00:42,10:03:42,,stop,ou_2_2,Canadian,,,,3601,3702,Mt. Dennis Station,Mt. Dennis Station,T2,08:04:54,08:05:12,5209.0,5216.0,Head On,1914-04-04 00:00:00,5215.0,,
tp_0_1_1_2025_6,VIA1,nON_SniN,Snider North Turnback,,,,,,10:06:48,,,stop,ou_2_2,Canadian,,,,3804,3601,Woodbine Station,Woodbine Station,T2,08:14:00,08:14:06,5387.0,5388.0,Head On,1914-09-29 00:00:00,5387.0,,
tp_0_2_2025_9,VIA2,nON_Set,Setter,,,stON_BalSub_0_ON_Set_1,T2,down,,13:24:00,,stop,ou_2_2,Canadian,,,,4127,4126,King-Liberty Station,King-Liberty Station,T3,08:18:54,08:19:42,5487.0,5510.0,Head On,1915-01-07 00:00:00,5509.0,,
tp_0_2_2025_9,VIA2,nON_BgtSt,Bloomington Station,st_ON_BgtSt_1,T2,stON_BalSub_0_ON_BgtSt_2,T2,down,,13:27:48,,pass,ou_2_2,Canadian,,,,4129,4128,King-Liberty Station,King-Liberty Station,T3,08:33:54,08:34:42,5762.0,5784.0,Head On,1915-10-09 00:00:00,5783.0,,
tp_0_2_2025_9,VIA2,nON_Qkr,Quaker,,,stON_BalSub_0_ON_Qkr_2,T2,down,,13:32:00,,pass,ou_2_2,Canadian,,,,E8306,E8210,Strachan Avenue,Strachan Avenue,T1,08:46:24,08:46:36,5984.0,5991.0,Same Direction,1916-05-18 00:00:00,5990.0,,
tp_0_2_2025_9,VIA2,nON_RmhYd,Richmond Hill Layover,,,stON_BalSub_0_ON_RmhYd_1,T2,down,,13:32:54,,pass,ou_2_2,Canadian,,,,E8306,E8210,Exhibition Station,Exhibition Station,T1,08:48:30,08:48:42,6022.0,6026.0,Same Direction,1916-06-25 00:00:00,6025.0,,
tp_0_2_2025_9,VIA2,nON_GorSt,Gormley Station,st_ON_GorSt_2,T2,stON_BalSub_0_ON_GorSt_1,T2,down,,13:35:00,,pass,ou_2_2,Canadian,,,,4131,4130,King-Liberty Station,King-Liberty Station,T3,08:48:54,08:49:42,6030.0,6048.0,Head On,1916-07-03 00:00:00,6047.0,,
tp_0_2_2025_9,VIA2,nON_Egn,Elgin,,,stON_BalSub_0_ON_Egn_1,T2,down,,13:43:36,,pass,ou_2_2,Canadian,,,,E8306,E8210,Park Lawn Station,Park Lawn Station,T1,08:53:30,08:53:42,6115.0,6118.0,Same Direction,1916-09-26 00:00:00,6117.0,,
tp_0_2_2025_9,VIA2,nON_RmhN,Richmond Hill North,,,stON_BalSub_0_ON_RmhN_1,T1,down,,13:46:24,,pass,ou_2_2,Canadian,,,,E8306,E8210,Mimico Station,Mimico Station,T1,08:54:48,08:55:00,6137.0,6142.0,Same Direction,1916-10-18 00:00:00,6141.0,,
